onset	duration	brud
36.36	0.04	-1
36.40	0.04	2
36.44	0.04	3
36.48	0.04	3
36.52	0.04	5
36.56	0.04	7
36.60	0.04	7
36.64	0.04	9
36.68	0.04	10
36.72	0.04	10
36.76	0.04	11
36.80	0.04	12
36.84	0.04	12
36.88	0.04	12
36.92	0.04	13
36.96	0.04	13
37.00	0.04	14
37.04	0.04	13
37.08	0.04	13
37.12	0.04	14
37.16	0.04	15
37.20	0.04	15
37.24	0.04	16
37.28	0.04	16
37.32	0.04	15
37.36	0.04	15
37.40	0.04	14
37.44	0.04	14
37.48	0.04	15
37.52	0.04	15
37.56	0.04	15
37.60	0.04	15
37.64	0.04	15
37.68	0.04	13
37.72	0.04	15
37.76	0.04	15
37.80	0.04	15
37.84	0.04	14
37.88	0.04	14
37.92	0.04	14
37.96	0.04	15
38.00	0.04	15
38.04	0.04	15
38.08	0.04	15
38.12	0.04	15
38.16	0.04	15
38.20	0.04	15
38.24	0.04	15
38.28	0.04	13
38.32	0.04	14
38.36	0.04	13
38.40	0.04	13
38.44	0.04	14
38.48	0.04	14
38.52	0.04	14
38.56	0.04	15
38.60	0.04	15
38.64	0.04	15
38.68	0.04	15
38.72	0.04	16
38.76	0.04	15
38.80	0.04	14
38.84	0.04	13
38.88	0.04	15
38.92	0.04	15
38.96	0.04	15
39.00	0.04	15
39.04	0.04	15
39.08	0.04	14
39.12	0.04	14
39.16	0.04	12
39.20	0.04	14
39.24	0.04	11
39.28	0.04	11
39.32	0.04	11
39.36	0.04	13
39.40	0.04	13
39.44	0.04	13
39.48	0.04	13
39.52	0.04	14
39.56	0.04	14
39.60	0.04	13
39.64	0.04	12
39.68	0.04	12
39.72	0.04	12
39.76	0.04	11
39.80	0.04	12
39.84	0.04	12
39.88	0.04	13
39.92	0.04	14
39.96	0.04	13
40.00	0.04	14
40.04	0.04	12
40.08	0.04	11
40.12	0.04	11
40.16	0.04	10
40.20	0.04	10
40.24	0.04	10
40.28	0.04	11
40.32	0.04	13
40.36	0.04	12
40.40	0.04	13
40.44	0.04	14
40.48	0.04	13
40.52	0.04	13
40.56	0.04	12
40.60	0.04	12
40.64	0.04	12
40.68	0.04	10
40.72	0.04	11
40.76	0.04	12
40.80	0.04	12
40.84	0.04	13
40.88	0.04	14
40.92	0.04	11
40.96	0.04	13
41.00	0.04	11
41.04	0.04	11
41.08	0.04	10
41.12	0.04	10
41.16	0.04	11
41.20	0.04	11
41.24	0.04	11
41.28	0.04	13
41.32	0.04	14
41.36	0.04	14
41.40	0.04	14
41.44	0.04	12
41.48	0.04	12
41.52	0.04	10
41.56	0.04	11
41.60	0.04	12
41.64	0.04	12
41.68	0.04	12
41.72	0.04	12
41.76	0.04	12
41.80	0.04	12
41.84	0.04	12
41.88	0.04	12
41.92	0.04	11
41.96	0.04	9
42.00	0.04	6
42.04	0.04	1
42.08	0.04	1
42.12	0.04	-1
42.16	0.04	-1
42.20	0.04	3
42.24	0.04	7
42.28	0.04	9
42.32	0.04	11
42.36	0.04	11
42.40	0.04	10
42.44	0.04	7
42.48	0.04	7
42.52	0.04	7
42.56	0.04	9
42.60	0.04	10
42.64	0.04	10
42.68	0.04	12
42.72	0.04	14
42.76	0.04	11
42.80	0.04	10
42.84	0.04	10
42.88	0.04	9
42.92	0.04	9
42.96	0.04	9
43.00	0.04	8
43.04	0.04	9
43.08	0.04	12
43.12	0.04	13
43.16	0.04	13
43.20	0.04	14
43.24	0.04	11
43.28	0.04	12
43.32	0.04	13
43.36	0.04	13
43.40	0.04	13
43.44	0.04	15
43.48	0.04	14
43.52	0.04	15
43.56	0.04	15
43.60	0.04	16
43.64	0.04	17
43.68	0.04	17
43.72	0.04	15
43.76	0.04	13
43.80	0.04	13
43.84	0.04	13
43.88	0.04	13
43.92	0.04	13
43.96	0.04	15
44.00	0.04	16
44.04	0.04	17
44.08	0.04	16
44.12	0.04	17
44.16	0.04	18
44.20	0.04	17
44.24	0.04	17
44.28	0.04	16
44.32	0.04	17
44.36	0.04	-20
44.40	0.04	-20
44.44	0.04	-20
44.48	0.04	-21
44.52	0.04	-22
44.56	0.04	-23
44.60	0.04	-22
44.64	0.04	-23
44.68	0.04	-22
44.72	0.04	-22
44.76	0.04	-20
44.80	0.04	-20
44.84	0.04	-19
44.88	0.04	-19
44.92	0.04	-19
44.96	0.04	-18
45.00	0.04	-20
45.04	0.04	-19
45.08	0.04	-20
45.12	0.04	-20
45.16	0.04	-21
45.20	0.04	-20
45.24	0.04	-19
45.28	0.04	-20
45.32	0.04	-21
45.36	0.04	-21
45.40	0.04	-22
45.44	0.04	-22
45.48	0.04	-25
45.52	0.04	-22
45.56	0.04	-22
45.60	0.04	-22
45.64	0.04	-23
45.68	0.04	-23
45.72	0.04	-23
45.76	0.04	-22
45.80	0.04	-23
45.84	0.04	-24
45.88	0.04	-24
45.92	0.04	-24
45.96	0.04	-25
46.00	0.04	-25
46.04	0.04	-24
46.08	0.04	-24
46.12	0.04	-23
46.16	0.04	-22
46.20	0.04	-20
46.24	0.04	-20
46.28	0.04	-20
46.32	0.04	-23
46.36	0.04	-26
46.40	0.04	-29
46.44	0.04	-31
46.48	0.04	-31
46.52	0.04	-32
46.56	0.04	-33
46.60	0.04	-34
46.64	0.04	-34
46.68	0.04	-35
46.72	0.04	-35
46.76	0.04	-37
46.80	0.04	-36
46.84	0.04	-36
46.88	0.04	-35
46.92	0.04	-36
46.96	0.04	-36
47.00	0.04	-37
47.04	0.04	-36
47.08	0.04	-34
47.12	0.04	-33
47.16	0.04	-33
47.20	0.04	-32
47.24	0.04	-32
47.28	0.04	-31
47.32	0.04	-29
47.36	0.04	-29
47.40	0.04	-27
47.44	0.04	-26
47.48	0.04	-27
47.52	0.04	-26
47.56	0.04	-27
47.60	0.04	-26
47.64	0.04	-26
47.68	0.04	-25
47.72	0.04	-26
47.76	0.04	-27
47.80	0.04	-28
47.84	0.04	-29
47.88	0.04	-29
47.92	0.04	-29
47.96	0.04	-28
48.00	0.04	-27
48.04	0.04	-27
48.08	0.04	-26
48.12	0.04	-26
48.16	0.04	-26
48.20	0.04	-26
48.24	0.04	-26
48.28	0.04	-26
48.32	0.04	-26
48.36	0.04	-28
48.40	0.04	-28
48.44	0.04	-30
48.48	0.04	-28
48.52	0.04	-29
48.56	0.04	-30
48.60	0.04	-31
48.64	0.04	-30
48.68	0.04	-30
48.72	0.04	-30
48.76	0.04	-31
48.80	0.04	-31
48.84	0.04	-31
48.88	0.04	-32
48.92	0.04	-31
48.96	0.04	-32
49.00	0.04	-34
49.04	0.04	-35
49.08	0.04	-34
49.12	0.04	-34
49.16	0.04	-34
49.20	0.04	-35
49.24	0.04	-34
49.28	0.04	-32
49.32	0.04	-32
49.36	0.04	-32
49.40	0.04	-33
49.44	0.04	-33
49.48	0.04	-33
49.52	0.04	-33
49.56	0.04	-33
49.60	0.04	-33
49.64	0.04	-35
49.68	0.04	-35
49.72	0.04	-37
49.76	0.04	-37
49.80	0.04	-38
49.84	0.04	-38
49.88	0.04	-38
49.92	0.04	-37
49.96	0.04	-38
50.00	0.04	-38
50.04	0.04	-38
50.08	0.04	-38
50.12	0.04	-39
50.16	0.04	-38
50.20	0.04	-38
50.24	0.04	-37
50.28	0.04	-37
50.32	0.04	-37
50.36	0.04	-36
50.40	0.04	-35
50.44	0.04	-36
50.48	0.04	-36
50.52	0.04	-37
50.56	0.04	-35
50.60	0.04	-35
50.64	0.04	-33
50.68	0.04	-34
50.72	0.04	-34
50.76	0.04	-35
50.80	0.04	-33
50.84	0.04	-34
50.88	0.04	-34
50.92	0.04	-34
50.96	0.04	-34
51.00	0.04	-35
51.04	0.04	-35
51.08	0.04	-35
51.12	0.04	-37
51.16	0.04	-37
51.20	0.04	-38
51.24	0.04	-40
51.28	0.04	-41
51.32	0.04	-42
51.36	0.04	-42
51.40	0.04	-43
51.44	0.04	-44
51.48	0.04	-45
51.52	0.04	-46
51.56	0.04	-48
51.60	0.04	-46
51.64	0.04	-48
51.68	0.04	-46
51.72	0.04	-47
51.76	0.04	-47
51.80	0.04	-47
51.84	0.04	-47
51.88	0.04	-47
51.92	0.04	-47
51.96	0.04	-47
52.00	0.04	-47
52.04	0.04	-47
52.08	0.04	-47
