onset	duration	brlr
24.40	0.04	-2
24.44	0.04	-5
24.48	0.04	-9
24.52	0.04	-13
24.56	0.04	-15
24.60	0.04	-13
24.64	0.04	-14
24.68	0.04	-12
24.72	0.04	-12
24.76	0.04	-10
24.80	0.04	-9
24.84	0.04	-7
24.88	0.04	-4
24.92	0.04	-2
24.96	0.04	0
25.00	0.04	3
25.04	0.04	4
25.08	0.04	3
25.12	0.04	2
25.16	0.04	0
25.20	0.04	-2
25.24	0.04	-5
25.28	0.04	-6
25.32	0.04	-7
25.36	0.04	-7
25.40	0.04	-7
25.44	0.04	-5
25.48	0.04	-6
25.52	0.04	-4
25.56	0.04	-3
25.60	0.04	0
25.64	0.04	2
25.68	0.04	6
25.72	0.04	10
25.76	0.04	12
25.80	0.04	15
25.84	0.04	16
25.88	0.04	18
25.92	0.04	20
25.96	0.04	21
26.00	0.04	21
26.04	0.04	21
26.08	0.04	20
26.12	0.04	19
26.16	0.04	19
26.20	0.04	18
26.24	0.04	17
26.28	0.04	17
26.32	0.04	15
26.36	0.04	15
26.40	0.04	14
26.44	0.04	14
26.48	0.04	14
26.52	0.04	14
26.56	0.04	13
26.60	0.04	12
26.64	0.04	12
26.68	0.04	11
26.72	0.04	12
26.76	0.04	13
26.80	0.04	13
26.84	0.04	13
26.88	0.04	14
26.92	0.04	14
26.96	0.04	15
27.00	0.04	16
27.04	0.04	18
27.08	0.04	20
27.12	0.04	21
27.16	0.04	20
27.20	0.04	19
27.24	0.04	17
27.28	0.04	13
27.32	0.04	11
27.36	0.04	11
27.40	0.04	13
27.44	0.04	15
27.48	0.04	14
27.52	0.04	12
27.56	0.04	12
27.60	0.04	12
27.64	0.04	13
27.68	0.04	13
27.72	0.04	13
27.76	0.04	15
27.80	0.04	15
27.84	0.04	14
27.88	0.04	15
27.92	0.04	14
27.96	0.04	14
28.00	0.04	14
28.04	0.04	13
28.08	0.04	15
28.12	0.04	16
28.16	0.04	16
28.20	0.04	18
28.24	0.04	18
28.28	0.04	20
28.32	0.04	21
28.36	0.04	21
28.40	0.04	23
28.44	0.04	21
28.48	0.04	21
28.52	0.04	21
28.56	0.04	21
28.60	0.04	22
28.64	0.04	23
28.68	0.04	21
28.72	0.04	22
28.76	0.04	21
28.80	0.04	20
28.84	0.04	20
28.88	0.04	20
28.92	0.04	20
28.96	0.04	20
29.00	0.04	19
29.04	0.04	19
29.08	0.04	17
29.12	0.04	18
29.16	0.04	18
29.20	0.04	17
29.24	0.04	18
29.28	0.04	18
29.32	0.04	18
29.36	0.04	19
29.40	0.04	18
29.44	0.04	18
29.48	0.04	20
29.52	0.04	20
29.56	0.04	20
29.60	0.04	20
29.64	0.04	20
29.68	0.04	20
29.72	0.04	14
29.76	0.04	15
29.80	0.04	12
29.84	0.04	8
29.88	0.04	10
29.92	0.04	12
29.96	0.04	11
30.00	0.04	11
30.04	0.04	11
30.08	0.04	11
30.12	0.04	12
30.16	0.04	12
30.20	0.04	12
30.24	0.04	11
30.28	0.04	11
30.32	0.04	10
30.36	0.04	11
30.40	0.04	12
30.44	0.04	9
30.48	0.04	9
30.52	0.04	9
30.56	0.04	8
30.60	0.04	8
30.64	0.04	9
30.68	0.04	8
30.72	0.04	7
30.76	0.04	6
30.80	0.04	5
30.84	0.04	5
30.88	0.04	5
30.92	0.04	5
30.96	0.04	5
31.00	0.04	5
31.04	0.04	4
31.08	0.04	5
31.12	0.04	5
31.16	0.04	4
31.20	0.04	4
31.24	0.04	4
31.28	0.04	4
31.32	0.04	4
31.36	0.04	3
31.40	0.04	3
31.44	0.04	3
31.48	0.04	2
31.52	0.04	2
31.56	0.04	2
31.60	0.04	3
31.64	0.04	1
31.68	0.04	1
31.72	0.04	2
31.76	0.04	2
31.80	0.04	1
31.84	0.04	1
31.88	0.04	2
31.92	0.04	1
31.96	0.04	2
32.00	0.04	2
32.04	0.04	2
32.08	0.04	1
32.12	0.04	1
32.16	0.04	1
32.20	0.04	1
32.24	0.04	0
32.28	0.04	0
32.32	0.04	5
32.36	0.04	8
32.40	0.04	7
32.44	0.04	8
32.48	0.04	8
32.52	0.04	9
32.56	0.04	9
32.60	0.04	10
32.64	0.04	10
32.68	0.04	10
32.72	0.04	11
32.76	0.04	12
32.80	0.04	12
